image,age,gender,race,age_range
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6D4F610>,4,1,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6D9FA10>,3,1,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAC050>,3,1,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAC610>,4,1,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DACC10>,2,0,1,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAD210>,7,1,1,60-69
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAD810>,3,1,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DADE10>,3,0,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAE3D0>,2,0,1,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAE9D0>,2,1,1,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAEF90>,2,0,1,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAF650>,5,0,1,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DAFB90>,4,0,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB4190>,7,1,1,60-69
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB4790>,4,0,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB4D90>,4,0,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB5350>,5,0,1,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB5950>,6,0,1,50-59
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB5F50>,4,0,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB6550>,5,0,1,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB6B50>,4,0,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB7750>,5,1,1,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DB7D50>,5,0,1,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DBC990>,3,1,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DBCF90>,6,1,1,50-59
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DBD550>,4,0,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DBDB50>,6,0,1,50-59
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DBE150>,4,1,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DBE750>,7,0,1,60-69
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DBED50>,3,1,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185A6DBF350>,1,1,1,3-9
