image,age,gender,age_range
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC24AE410>,3,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1863A522A90>,7,0,60-69
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x186334570D0>,5,1,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x18633418F90>,5,0,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x18609009A90>,5,1,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185C9725190>,4,0,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185F9BEA190>,3,1,20-29
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC2499ED0>,4,0,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1863A4F9690>,1,1,3-9
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185EBAF5650>,4,0,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1863D531890>,5,0,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x186486D1AD0>,3,1,20-29
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE020D0>,3,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185FFEFED50>,4,0,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x186415D7E90>,7,1,60-69
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185CD6F3910>,2,0,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x186100E4610>,4,1,30-39
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC24F13D0>,4,0,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1858FECC110>,7,1,60-69
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185FFCDA4D0>,3,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185FFF26B50>,2,0,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185FFC69350>,3,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1861B165BD0>,3,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x186090167D0>,1,1,3-9
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185C9690A90>,3,0,20-29
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC24C52D0>,4,0,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x185FFE27190>,6,0,50-59
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1862C3C9550>,1,0,3-9
