image,age,gender,race
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBDFA510>,18,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC130F3D0>,34,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC14AADD0>,50,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC19F21D0>,23,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBDC1B10>,32,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE0A750>,37,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE08D10>,30,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE086D0>,34,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE08A50>,36,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC130F990>,26,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17A90>,32,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17AD0>,27,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC199FD50>,49,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17CD0>,47,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC149F790>,16,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17890>,6,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE14BD0>,26,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE15390>,35,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE14E90>,23,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17810>,39,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE15890>,20,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE15AD0>,30,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE14E50>,43,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17A50>,23,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE165D0>,3,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17F90>,26,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE15B90>,27,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE15590>,32,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE161D0>,25,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE16510>,19,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE16410>,3,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE16590>,31,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE157D0>,36,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17D10>,25,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE178D0>,54,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE16C10>,26,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE17390>,21,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE16DD0>,26,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE1AE50>,32,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC1470090>,30,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC12C8290>,43,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE183D0>,39,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE18450>,10,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE185D0>,44,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC1828D10>,25,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE18DD0>,17,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE1B050>,55,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC1323190>,26,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC19F3410>,27,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC18EB590>,5,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC182B4D0>,29,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE1B7D0>,49,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBDFAD90>,24,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE1B910>,43,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDC119B350>,20,1,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE18A10>,29,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE1BC90>,37,0,3
<PIL.Image.Image image mode=RGB size=224x224 at 0x1DDBBE18390>,26,1,3
