image,age,gender,race,age_range
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9705B8050>,4,1,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9785E3D90>,3,1,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9CEC9A3D0>,3,1,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9CDC65C10>,4,1,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9676ECB50>,2,0,1,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F948AF68D0>,7,1,1,60-69
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F96760EAD0>,3,1,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9CF4EA610>,3,0,1,20-29
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9CDC6B290>,2,0,1,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F978629890>,2,1,1,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9D0180490>,2,0,1,10-19
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9D0183890>,5,0,1,40-49
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9D0182E50>,4,0,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9D0197350>,7,1,1,60-69
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9D0197510>,4,0,1,30-39
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=224x224 at 0x1F9D01950D0>,4,0,1,30-39
